Dia;Mes;Año;Temperatura media;Humedad media;Rocío medio;Presión media;Velocidad media;Racha media;Dirección media;Precipitación mensual;Precipitación anual;Intensidad máxima por minuto;Temperatura máxima;Temperatura mínima;Humedad máxima;Humedad mínima;Presión máxima;Presión mínima;Velocidad media máxima;Racha máxima
1;Febrero;2018;4.8°C;73%;0.0°C;1010.7 hPa;3.2 km/h;6.2 km/h;314° (NO);0.0 mm;0.0 mm;0.0 mm el 01 a las 00:00;10.9°C el 01 a las 14:43;1.3°C el 01 a las 04:34;91% el 01 a las 09:19;46% el 01 a las 16:29;1017.6 hPa el 01 a las 00:09;1005.8 hPa el 01 a las 17:45;33.3 km/h el 01 a las 18:21;50.0 km/h  del 283°(ONO) el 01 a las 18:20
2;Febrero;2018;2.9°C;62%;-4.1°C;1011.8 hPa;2.7 km/h;5.3 km/h;322° (NO);0.0 mm;0.0 mm;0.0 mm el 02 a las 23:59;7.6°C el 02 a las 13:25;-1.6°C el 02 a las 05:47;83% el 02 a las 05:59;38% el 02 a las 17:27;1017.5 hPa el 02 a las 23:59;1008.1 hPa el 02 a las 00:06;22.2 km/h el 02 a las 14:34;38.9 km/h  del 314°(NO) el 02 a las 14:30
3;Febrero;2018;4.8°C;60%;-2.5°C;1016.7 hPa;3.6 km/h;7.9 km/h;273° (O);0.0 mm;0.0 mm;0.0 mm el 03 a las 23:59;9.7°C el 03 a las 15:46;0.8°C el 03 a las 02:19;77% el 03 a las 23:59;45% el 03 a las 14:45;1019.6 hPa el 03 a las 09:17;1012.1 hPa el 03 a las 23:59;20.4 km/h el 03 a las 07:14;35.2 km/h  del 279°(O) el 03 a las 07:12
4;Febrero;2018;2.8°C;89%;1.2°C;1007.9 hPa;2.3 km/h;5.9 km/h;318° (NO);10.2 mm;10.2 mm;0.2 mm el 04 a las 20:42;5.2°C el 04 a las 00:45;1.1°C el 04 a las 14:55;94% el 04 a las 23:59;76% el 04 a las 05:07;1012.1 hPa el 04 a las 00:05;1006.4 hPa el 04 a las 18:15;13.0 km/h el 04 a las 05:06;27.8 km/h  del 271°(O) el 04 a las 03:54
5;Febrero;2018;1.3°C;93%;0.2°C;1005.6 hPa;0.7 km/h;2.8 km/h;1° (N);14.6 mm;14.6 mm;0.2 mm el 05 a las 18:08;2.4°C el 05 a las 10:30;0.6°C el 05 a las 13:02;95% el 05 a las 23:00;88% el 05 a las 10:38;1008.4 hPa el 05 a las 23:55;1004.1 hPa el 05 a las 16:55;9.3 km/h el 05 a las 16:58;14.8 km/h  del 323°(NO) el 05 a las 17:03
6;Febrero;2018;2.0°C;78%;-1.7°C;1009.5 hPa;0.6 km/h;2.0 km/h;4° (N);17.2 mm;17.2 mm;0.2 mm el 06 a las 13:57;5.9°C el 06 a las 15:44;-0.6°C el 06 a las 07:57;94% el 06 a las 08:55;56% el 06 a las 18:23;1012.5 hPa el 06 a las 23:27;1007.9 hPa el 06 a las 04:18;9.3 km/h el 06 a las 16:29;16.7 km/h  del 299°(ONO) el 06 a las 16:40
7;Febrero;2018;1.3°C;67%;-4.4°C;1015.1 hPa;0.9 km/h;2.9 km/h;13° (NNE);17.2 mm;17.2 mm;0.0 mm el 07 a las 23:59;6.4°C el 07 a las 15:02;-3.3°C el 07 a las 06:48;88% el 07 a las 07:05;49% el 07 a las 15:40;1019.2 hPa el 07 a las 23:59;1012.0 hPa el 07 a las 00:37;7.4 km/h el 07 a las 18:42;24.1 km/h  del 017°(NNE) el 07 a las 15:09
8;Febrero;2018;0.9°C;67%;-4.9°C;1019.8 hPa;0.2 km/h;0.9 km/h;17° (NNE);17.2 mm;17.2 mm;0.0 mm el 08 a las 23:59;7.1°C el 08 a las 15:50;-4.3°C el 08 a las 08:31;87% el 08 a las 08:52;42% el 08 a las 16:15;1021.0 hPa el 08 a las 11:58;1018.7 hPa el 08 a las 16:53;7.4 km/h el 08 a las 16:01;13.0 km/h  del 319°(NO) el 08 a las 16:00
9;Febrero;2018;2.1°C;72%;-2.6°C;1019.9 hPa;0.2 km/h;1.1 km/h;53° (NE);17.2 mm;17.2 mm;0.0 mm el 09 a las 23:59;8.7°C el 09 a las 17:37;-3.9°C el 09 a las 07:51;89% el 09 a las 06:58;53% el 09 a las 14:33;1022.4 hPa el 09 a las 22:16;1018.4 hPa el 09 a las 16:31;7.4 km/h el 09 a las 13:34;11.1 km/h  del 153°(SSE) el 09 a las 14:13
10;Febrero;2018;4.7°C;63%;-2.1°C;1021.3 hPa;0.7 km/h;2.3 km/h;235° (SO);17.2 mm;17.2 mm;0.0 mm el 10 a las 23:59;9.2°C el 10 a las 16:34;-0.6°C el 10 a las 08:44;81% el 10 a las 09:00;44% el 10 a las 15:38;1022.7 hPa el 10 a las 11:46;1019.6 hPa el 10 a las 16:57;11.1 km/h el 10 a las 18:36;20.4 km/h  del 287°(ONO) el 10 a las 18:30
11;Febrero;2018;7.0°C;73%;2.3°C;1019.7 hPa;3.7 km/h;7.4 km/h;271° (O);17.2 mm;17.2 mm;0.0 mm el 11 a las 23:59;13.8°C el 11 a las 14:45;0.0°C el 11 a las 08:46;91% el 11 a las 08:08;60% el 11 a las 17:26;1021.8 hPa el 11 a las 10:49;1017.3 hPa el 11 a las 23:55;24.1 km/h el 11 a las 16:19;37.0 km/h  del 277°(O) el 11 a las 16:18
12;Febrero;2018;7.0°C;62%;0.1°C;1017.3 hPa;4.9 km/h;9.5 km/h;287° (ONO);17.2 mm;17.2 mm;0.0 mm el 12 a las 23:59;10.5°C el 12 a las 00:37;1.6°C el 12 a las 23:59;77% el 12 a las 01:11;43% el 12 a las 14:55;1020.2 hPa el 12 a las 23:46;1015.5 hPa el 12 a las 06:10;20.4 km/h el 12 a las 16:21;31.5 km/h  del 296°(ONO) el 12 a las 17:02
13;Febrero;2018;4.3°C;67%;-1.4°C;1018.3 hPa;1.8 km/h;5.2 km/h;223° (SO);17.2 mm;17.2 mm;0.0 mm el 13 a las 23:59;8.6°C el 13 a las 14:15;0.3°C el 13 a las 06:35;83% el 13 a las 23:26;52% el 13 a las 13:53;1020.0 hPa el 13 a las 00:52;1016.7 hPa el 13 a las 18:39;14.8 km/h el 13 a las 13:50;29.6 km/h  del 144°(SE) el 13 a las 13:19
14;Febrero;2018;7.6°C;86%;5.4°C;1019.0 hPa;2.5 km/h;6.9 km/h;202° (SSO);17.2 mm;17.2 mm;0.0 mm el 14 a las 23:59;10.4°C el 14 a las 13:17;5.5°C el 14 a las 08:03;92% el 14 a las 23:26;77% el 14 a las 14:17;1021.2 hPa el 14 a las 23:40;1017.5 hPa el 14 a las 00:09;20.4 km/h el 14 a las 12:56;29.6 km/h  del 157°(SSE) el 14 a las 12:55
15;Febrero;2018;7.9°C;91%;6.4°C;1023.6 hPa;0.2 km/h;0.7 km/h;193° (SSO);17.2 mm;17.2 mm;0.0 mm el 15 a las 23:59;10.4°C el 15 a las 17:29;5.4°C el 15 a las 05:19;95% el 15 a las 13:16;84% el 15 a las 18:14;1025.3 hPa el 15 a las 12:20;1020.9 hPa el 15 a las 00:25;7.4 km/h el 15 a las 01:29;14.8 km/h  del 167°(SSE) el 15 a las 01:28
16;Febrero;2018;9.4°C;85%;7.0°C;1022.1 hPa;0.2 km/h;1.1 km/h;188° (S);17.2 mm;17.2 mm;0.0 mm el 16 a las 23:59;14.4°C el 16 a las 15:38;6.8°C el 16 a las 10:53;94% el 16 a las 11:38;67% el 16 a las 15:36;1024.8 hPa el 16 a las 01:09;1019.2 hPa el 16 a las 18:08;3.7 km/h el 16 a las 19:35;11.1 km/h  del 173°(S) el 16 a las 17:32
17;Febrero;2018;9.1°C;80%;5.6°C;1020.9 hPa;0.4 km/h;1.8 km/h;159° (SSE);17.2 mm;17.2 mm;0.0 mm el 17 a las 23:59;13.7°C el 17 a las 14:07;6.2°C el 17 a las 03:11;96% el 17 a las 10:00;60% el 17 a las 17:47;1023.0 hPa el 17 a las 23:55;1019.7 hPa el 17 a las 16:41;7.4 km/h el 17 a las 14:42;22.2 km/h  del 072°(ENE) el 17 a las 22:23
18;Febrero;2018;6.9°C;64%;-0.3°C;1021.5 hPa;0.2 km/h;1.5 km/h;13° (NNE);17.2 mm;17.2 mm;0.0 mm el 18 a las 23:59;13.1°C el 18 a las 16:07;-1.2°C el 18 a las 08:17;92% el 18 a las 09:28;32% el 18 a las 15:39;1023.5 hPa el 18 a las 10:43;1019.1 hPa el 18 a las 18:23;3.7 km/h el 18 a las 16:50;14.8 km/h  del 05°(N) el 18 a las 21:11
